22391	@USER @USER @USER @USER @USER @USER @USER Aq 3 takipçin var fav senin neyine	1
30521	@USER Hayatları ERKEK EGEMEN bir dünya üzerine kurulu, dinleri erkeklere değer veriyor, kadın onlar için kaburga kemiğinden yapılan, şahitliği bile ciddiye alınmayan, çocuk doğuran, temizlik yapan, iş hayatında fazlalık olan, susması, ses çıkarmaması gereken, bir eşya, tarla, aksesuar.	0
32869	Bir insanın kalbi ne kadar temizse o kadar kazık yer	0
30789	@USER @USER Bu kez olacak dediğim hadise	0
22658	@USER Geçmiş olsun abi  allah acil şifalar versin	0
42302	pepenin bence şu an tek eksiği bitirici özelliğinin çok iyi olmaması yoksa bize şu an üç tane gol sallamıştı tek başına	0
16609	ben tekrar belgesel izlemeye gidiyorum bb	0
14104	@USER Tosko bana uzun adidas corap alirmisin alirsan istanbula geldinde nargilen benden	0
34905	@USER Bu kadar düştüler demek ki	1
34908	Oysa alıştığımız hiçbir şey yoktu.	0
42915	Cumleten Hayirli Geceler Cuma Geceniz ve Cumaniz Mubarek olsun.	0
12075	@USER Ahahah 😂😂 ırkçı olduğum tek yer...	0
39038	Yine sensiz yine yalnız    Yine tutsak kör akşamlar...	0
19712	@USER Tam tersine kadın-çocuk edebiyatı yapan erkekler çok yavsaklar	1
33048	Yokluğunu anlasam da kabullenmek o kadar da kolay olmuyor	0
15877	@USER İnanmıyorum ben o kızla adaş mıyım :(( gidip buna üzüleceğim bir miktar....	1
14087	Şu kahpe dünya beni sana düşman eder mi?	0
20388	@USER @USER Sağlıklı bi insan böyle şeyler yazamaz bence	1
23917	yuf eğik yazı #VitrabetDogruAdres ağdalı mahkeme denklemler sistemi	0
38961	En sevdiğim şarkı listesinde,   Ruhuma iyi gelen senin sesin var.	0
31576	Günaydın;   Güzel kalanlara.   Günaydın;   Kapısını güzelliğe açanlara.   Günaydın;   Yüreğini iyilikle sınayanlara.   Günaydın;   Kötülükle beslenmeyip bir kalp kazanmak için insanlığa çalışanlara..   Hayırlı sabahlar..	0
27801	@USER @USER @USER Burda milyonlarca insani icinde barindiran bir olusumdan bahsediyoruz.hatalar yanlislar var.isteriz ki duzelsin.bu toplumum genelinin sikintisi.arkadasini ise gonderiyorsun,arkandan sana yanlis yapiyor,seni mahcup ediyor.olagan bir durum.insallah iyi olur	0
35766	Başkanım 1 kere de haksız ol	0
18461	@USER Devlete karşı işlenen şuçlarda af getirmeyip ki o devletin bileceği iş, ama devletin koruması altında olması gereken mağdur ve  mazlumların katillerine af istemek bu nasıl bir keyfiyet. sevdiklerini kaybetmiş yüreği yanmış insanların yüreğini bir daha yakmak.	0
35649	@USER @USER İhtiyacı olan aynı yerde sohbet   Ediyor kuzu birgün canavar   Fetö senide yer sonra demedi   Deme.   #HerŞeyÇokGüzelOlacak    #29MAYIS1453    #istanbulunfethi    #EytMücadelesiKazanacak	0
14356	@USER @USER @USER @USER Fatih yanlış anlama ama lütuf sahibi kişisin şu an	0
